	SampleID	Compartment	Cultivar	Site	Group	Type	Age	Phylum2	RA
1	G01	Soil	Soil	GE	G0	Soil	0	Parcubacteria	0.000123853
2	G02	Soil	Soil	GE	G0	Soil	0	Parcubacteria	1.37E-05
3	G03	Soil	Soil	GE	G0	Soil	0	Parcubacteria	8.44E-05
4	G04	Soil	Soil	GE	G0	Soil	0	Parcubacteria	4.12E-05
5	G151	Soil	Soil	GE	G15	Soil	15	Parcubacteria	0.000176813
6	G152	Soil	Soil	GE	G15	Soil	15	Parcubacteria	0.000148242
7	G153	Soil	Soil	GE	G15	Soil	15	Parcubacteria	0.000162059
8	G154	Soil	Soil	GE	G15	Soil	15	Parcubacteria	0.000161121
9	G281	Soil	Soil	GE	G28	Soil	28	Parcubacteria	0.000232133
10	G282	Soil	Soil	GE	G28	Soil	28	Parcubacteria	0.000177562
11	G283	Soil	Soil	GE	G28	Soil	28	Parcubacteria	0.000107434
12	G284	Soil	Soil	GE	G28	Soil	28	Parcubacteria	1.35E-05
13	G361	Soil	Soil	GE	G36	Soil	36	Parcubacteria	5.38E-05
14	G362	Soil	Soil	GE	G36	Soil	36	Parcubacteria	0.000279621
15	G363	Soil	Soil	GE	G36	Soil	36	Parcubacteria	0.000123564
16	G364	Soil	Soil	GE	G36	Soil	36	Parcubacteria	0.000167872
17	G51	Soil	Soil	GE	G5	Soil	5	Parcubacteria	8.03E-05
18	G52	Soil	Soil	GE	G5	Soil	5	Parcubacteria	9.47E-05
19	G53	Soil	Soil	GE	G5	Soil	5	Parcubacteria	5.39E-05
20	G54	Soil	Soil	GE	G5	Soil	5	Parcubacteria	4.03E-05
29	RBG15D1	Rhizoplane	Stipa grandis	GE	RB.G15D	dominant	15	Parcubacteria	0.000184589
30	RBG15D2	Rhizoplane	Stipa grandis	GE	RB.G15D	dominant	15	Parcubacteria	0.00013182
31	RBG15D3	Rhizoplane	Stipa grandis	GE	RB.G15D	dominant	15	Parcubacteria	0.000266053
32	RBG15D4	Rhizoplane	Stipa grandis	GE	RB.G15D	dominant	15	Parcubacteria	5.28E-05
33	RBG28D1	Rhizoplane	Stipa grandis	GE	RB.G28D	dominant	28	Parcubacteria	5.34E-05
34	RBG28D2	Rhizoplane	Stipa grandis	GE	RB.G28D	dominant	28	Parcubacteria	5.34E-05
35	RBG28D3	Rhizoplane	Stipa grandis	GE	RB.G28D	dominant	28	Parcubacteria	1.33E-05
36	RBG28D4	Rhizoplane	Stipa grandis	GE	RB.G28D	dominant	28	Parcubacteria	1.14E-05
41	RBG36D1	Rhizoplane	Stipa grandis	GE	RB.G36D	non-d	36	Parcubacteria	1.34E-05
42	RBG36D2	Rhizoplane	Stipa grandis	GE	RB.G36D	non-d	36	Parcubacteria	1.34E-05
43	RBG36D3	Rhizoplane	Stipa grandis	GE	RB.G36D	non-d	36	Parcubacteria	5.36E-05
44	RBG36D4	Rhizoplane	Stipa grandis	GE	RB.G36D	non-d	36	Parcubacteria	5.39E-05
