	SampleID	Compartment	Cultivar	Site	Group	Type	Age	Phylum2	RA
1	L151	Soil	Soil	AL	L15	NA	15	Fibrobacteres	6.79E-05
2	L152	Soil	Soil	AL	L15	NA	15	Fibrobacteres	2.72E-05
3	L153	Soil	Soil	AL	L15	NA	15	Fibrobacteres	5.47E-05
4	L154	Soil	Soil	AL	L15	NA	15	Fibrobacteres	4.11E-05
5	L21	Soil	Soil	AL	L2	NA	2	Fibrobacteres	0.00029378
6	L22	Soil	Soil	AL	L2	NA	2	Fibrobacteres	9.80E-05
7	L23	Soil	Soil	AL	L2	NA	2	Fibrobacteres	6.98E-05
8	L24	Soil	Soil	AL	L2	NA	2	Fibrobacteres	2.85E-05
9	L251	Soil	Soil	AL	L25	NA	25	Fibrobacteres	4.07E-05
10	L252	Soil	Soil	AL	L25	NA	25	Fibrobacteres	2.76E-05
11	L253	Soil	Soil	AL	L25	NA	25	Fibrobacteres	3.42E-05
12	L254	Soil	Soil	AL	L25	NA	25	Fibrobacteres	0.000120706
13	L401	Soil	Soil	AL	L40	NA	40	Fibrobacteres	2.69E-05
14	L402	Soil	Soil	AL	L40	NA	40	Fibrobacteres	8.05E-05
15	L403	Soil	Soil	AL	L40	NA	40	Fibrobacteres	0.000108086
16	L404	Soil	Soil	AL	L40	NA	40	Fibrobacteres	8.09E-05
17	RBL15B1	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L15B	NA	15	Fibrobacteres	9.42E-05
18	RBL15B2	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L15B	NA	15	Fibrobacteres	0.000227839
19	RBL15B3	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L15B	NA	15	Fibrobacteres	0.000107038
20	RBL15B4	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L15B	NA	15	Fibrobacteres	8.07E-05
25	RBL25B1	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L25B	NA	25	Fibrobacteres	8.03E-05
26	RBL25B2	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L25B	NA	25	Fibrobacteres	9.48E-05
27	RBL25B3	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L25B	NA	25	Fibrobacteres	0.000176128
28	RBL25B4	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L25B	NA	25	Fibrobacteres	8.05E-05
33	RBL40B1	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L40B	NA	40	Fibrobacteres	0.000333329
34	RBL40B2	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L40B	NA	40	Fibrobacteres	0.000106781
35	RBL40B3	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L40B	NA	40	Fibrobacteres	0.000172563
36	RBL40B4	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L40B	NA	40	Fibrobacteres	5.01E-05
41	RJL15B1	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L15B	NA	15	Fibrobacteres	9.43E-05
42	RJL15B2	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L15B	NA	15	Fibrobacteres	0.000213641
43	RJL15B3	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L15B	NA	15	Fibrobacteres	1.32E-05
44	RJL15B4	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L15B	NA	15	Fibrobacteres	4.05E-05
49	RJL25B1	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L25B	NA	25	Fibrobacteres	0.000202175
50	RJL25B2	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L25B	NA	25	Fibrobacteres	5.37E-05
51	RJL25B3	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L25B	NA	25	Fibrobacteres	2.69E-05
52	RJL25B4	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L25B	NA	25	Fibrobacteres	0.000133419
57	RJL40B1	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L40B	NA	40	Fibrobacteres	8.04E-05
58	RJL40B2	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L40B	NA	40	Fibrobacteres	0.000147077
59	RJL40B3	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L40B	NA	40	Fibrobacteres	3.98E-05
60	RJL40B4	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L40B	NA	40	Fibrobacteres	2.68E-05
65	RL15B1	Endosphere	Bothriochloa ischaemum 	AL	R.L15B	NA	15	Fibrobacteres	0.000143478
66	RL15B2	Endosphere	Bothriochloa ischaemum 	AL	R.L15B	NA	15	Fibrobacteres	9.59E-05
67	RL15B3	Endosphere	Bothriochloa ischaemum 	AL	R.L15B	NA	15	Fibrobacteres	0.000108597
68	RL15B4	Endosphere	Bothriochloa ischaemum 	AL	R.L15B	NA	15	Fibrobacteres	0.000301192
73	RL25B1	Endosphere	Bothriochloa ischaemum 	AL	R.L25B	NA	25	Fibrobacteres	7.15E-05
74	RL25B2	Endosphere	Bothriochloa ischaemum 	AL	R.L25B	NA	25	Fibrobacteres	7.53E-05
75	RL25B3	Endosphere	Bothriochloa ischaemum 	AL	R.L25B	NA	25	Fibrobacteres	7.15E-05
76	RL25B4	Endosphere	Bothriochloa ischaemum 	AL	R.L25B	NA	25	Fibrobacteres	7.53E-05
81	RL40B1	Endosphere	Bothriochloa ischaemum 	AL	R.L40B	NA	40	Fibrobacteres	1.47E-05
82	RL40B2	Endosphere	Bothriochloa ischaemum 	AL	R.L40B	NA	40	Fibrobacteres	1.47E-05
83	RL40B3	Endosphere	Bothriochloa ischaemum 	AL	R.L40B	NA	40	Fibrobacteres	1.56E-05
84	RL40B4	Endosphere	Bothriochloa ischaemum 	AL	R.L40B	NA	40	Fibrobacteres	2.45E-05
89	L151	Soil	Soil	AL	L15	NA	15	Parcubacteria	0.000325693
90	L152	Soil	Soil	AL	L15	NA	15	Parcubacteria	0.000353299
