	SampleID	Compartment	Cultivar	Site	Group	Type	Age	Phylum2	RA
1	L151	Soil	Soil	AL	L15	NA	15	Fibrobacteres	6.79E-05
2	L152	Soil	Soil	AL	L15	NA	15	Fibrobacteres	2.72E-05
3	L153	Soil	Soil	AL	L15	NA	15	Fibrobacteres	5.47E-05
4	L154	Soil	Soil	AL	L15	NA	15	Fibrobacteres	4.11E-05
5	L21	Soil	Soil	AL	L2	NA	2	Fibrobacteres	0.00029378
6	L22	Soil	Soil	AL	L2	NA	2	Fibrobacteres	9.80E-05
7	L23	Soil	Soil	AL	L2	NA	2	Fibrobacteres	6.98E-05
8	L24	Soil	Soil	AL	L2	NA	2	Fibrobacteres	2.85E-05
9	L251	Soil	Soil	AL	L25	NA	25	Fibrobacteres	4.07E-05
10	L252	Soil	Soil	AL	L25	NA	25	Fibrobacteres	2.76E-05
11	L253	Soil	Soil	AL	L25	NA	25	Fibrobacteres	3.42E-05
12	L254	Soil	Soil	AL	L25	NA	25	Fibrobacteres	0.000120706
13	L401	Soil	Soil	AL	L40	NA	40	Fibrobacteres	2.69E-05
14	L402	Soil	Soil	AL	L40	NA	40	Fibrobacteres	8.05E-05
15	L403	Soil	Soil	AL	L40	NA	40	Fibrobacteres	0.000108086
16	L404	Soil	Soil	AL	L40	NA	40	Fibrobacteres	8.09E-05
21	RBL15S1	Rhizoplane	Hippophae rhamnoides	AL	RB.L15S	NA	15	Fibrobacteres	8.03E-05
22	RBL15S2	Rhizoplane	Hippophae rhamnoides	AL	RB.L15S	NA	15	Fibrobacteres	8.03E-05
23	RBL15S3	Rhizoplane	Hippophae rhamnoides	AL	RB.L15S	NA	15	Fibrobacteres	8.03E-05
24	RBL15S4	Rhizoplane	Hippophae rhamnoides	AL	RB.L15S	NA	15	Fibrobacteres	8.03E-05
29	RBL25S1	Rhizoplane	Hippophae rhamnoides	AL	RB.L25S	NA	25	Fibrobacteres	5.33E-05
30	RBL25S2	Rhizoplane	Hippophae rhamnoides	AL	RB.L25S	NA	25	Fibrobacteres	0.00011925
31	RBL25S3	Rhizoplane	Hippophae rhamnoides	AL	RB.L25S	NA	25	Fibrobacteres	2.66E-05
32	RBL25S4	Rhizoplane	Hippophae rhamnoides	AL	RB.L25S	NA	25	Fibrobacteres	1.32E-05
37	RBL40S1	Rhizoplane	Hippophae rhamnoides	AL	RB.L40S	NA	40	Fibrobacteres	3.97E-05
38	RBL40S2	Rhizoplane	Hippophae rhamnoides	AL	RB.L40S	NA	40	Fibrobacteres	0.000145593
39	RBL40S3	Rhizoplane	Hippophae rhamnoides	AL	RB.L40S	NA	40	Fibrobacteres	1.32E-05
40	RBL40S4	Rhizoplane	Hippophae rhamnoides	AL	RB.L40S	NA	40	Fibrobacteres	2.65E-05
45	RJL15S1	Rhizosphere	Hippophae rhamnoides	AL	RJ.L15S	NA	15	Fibrobacteres	3.97E-05
46	RJL15S2	Rhizosphere	Hippophae rhamnoides	AL	RJ.L15S	NA	15	Fibrobacteres	0.000201882
47	RJL15S3	Rhizosphere	Hippophae rhamnoides	AL	RJ.L15S	NA	15	Fibrobacteres	2.65E-05
48	RJL15S4	Rhizosphere	Hippophae rhamnoides	AL	RJ.L15S	NA	15	Fibrobacteres	8.94E-05
53	RJL25S1	Rhizosphere	Hippophae rhamnoides	AL	RJ.L25S	NA	25	Fibrobacteres	1.66E-05
54	RJL25S2	Rhizosphere	Hippophae rhamnoides	AL	RJ.L25S	NA	25	Fibrobacteres	1.99E-05
55	RJL25S3	Rhizosphere	Hippophae rhamnoides	AL	RJ.L25S	NA	25	Fibrobacteres	1.33E-05
56	RJL25S4	Rhizosphere	Hippophae rhamnoides	AL	RJ.L25S	NA	25	Fibrobacteres	2.65E-05
61	RJL40S1	Rhizosphere	Hippophae rhamnoides	AL	RJ.L40S	NA	40	Fibrobacteres	5.32E-05
62	RJL40S2	Rhizosphere	Hippophae rhamnoides	AL	RJ.L40S	NA	40	Fibrobacteres	6.66E-05
63	RJL40S3	Rhizosphere	Hippophae rhamnoides	AL	RJ.L40S	NA	40	Fibrobacteres	6.85E-05
64	RJL40S4	Rhizosphere	Hippophae rhamnoides	AL	RJ.L40S	NA	40	Fibrobacteres	5.31E-05
69	RL15S1	Endosphere	Hippophae rhamnoides	AL	R.L15S	NA	15	Fibrobacteres	7.91E-05
70	RL15S2	Endosphere	Hippophae rhamnoides	AL	R.L15S	NA	15	Fibrobacteres	7.91E-05
71	RL15S3	Endosphere	Hippophae rhamnoides	AL	R.L15S	NA	15	Fibrobacteres	7.91E-05
72	RL15S4	Endosphere	Hippophae rhamnoides	AL	R.L15S	NA	15	Fibrobacteres	7.91E-05
77	RL25S1	Endosphere	Hippophae rhamnoides	AL	R.L25S	NA	25	Fibrobacteres	0.00018987
78	RL25S2	Endosphere	Hippophae rhamnoides	AL	R.L25S	NA	25	Fibrobacteres	0.00018987
79	RL25S3	Endosphere	Hippophae rhamnoides	AL	R.L25S	NA	25	Fibrobacteres	0.00018987
80	RL25S4	Endosphere	Hippophae rhamnoides	AL	R.L25S	NA	25	Fibrobacteres	0.00018987
85	RL40S1	Endosphere	Hippophae rhamnoides	AL	R.L40S	NA	40	Fibrobacteres	1.66E-05
86	RL40S2	Endosphere	Hippophae rhamnoides	AL	R.L40S	NA	40	Fibrobacteres	1.66E-05
87	RL40S3	Endosphere	Hippophae rhamnoides	AL	R.L40S	NA	40	Fibrobacteres	1.66E-05
88	RL40S4	Endosphere	Hippophae rhamnoides	AL	R.L40S	NA	40	Fibrobacteres	1.66E-05
89	L151	Soil	Soil	AL	L15	NA	15	Parcubacteria	0.000325693
90	L152	Soil	Soil	AL	L15	NA	15	Parcubacteria	0.000353299
91	L153	Soil	Soil	AL	L15	NA	15	Parcubacteria	0.0002326
92	L154	Soil	Soil	AL	L15	NA	15	Parcubacteria	0.00032888
