,Sample_1,Sample_2,bMNTD,mean_bMNTD,sd_bMNTD,bNTI,Group_1,Group_2,Site1,Site2,RCb,process
1,G02,G01,0.002679328,0.002810352,0.000199573,-0.656521295,G0GE.S,G0GE.S,G01,G02,1,dispersal limitation
2,G03,G01,0.002491331,0.002198534,0.000155679,1.880777747,G0GE.S,G0GE.S,G01,G03,1,dispersal limitation
3,G04,G01,0.002563102,0.002332636,0.000232284,0.992176455,G0GE.S,G0GE.S,G01,G04,1,dispersal limitation
4,G151,G01,0.004536557,0.004693766,0.000492013,-0.319521243,G15GE.S,G0GE.S,G01,G151,1,dispersal limitation
5,G152,G01,0.01014393,0.005870685,0.00063134,6.768533339,G15GE.S,G0GE.S,G01,G152,1,variable selection
6,G153,G01,0.005039143,0.004817968,0.000581322,0.380469295,G15GE.S,G0GE.S,G01,G153,1,dispersal limitation
7,G154,G01,0.006586019,0.005682643,0.000551696,1.637454127,G15GE.S,G0GE.S,G01,G154,1,dispersal limitation
8,G281,G01,0.003285991,0.003016244,0.00026608,1.013782272,G28GE.S,G0GE.S,G01,G281,1,dispersal limitation
9,G282,G01,0.002670852,0.002645396,0.000220471,0.115460362,G28GE.S,G0GE.S,G01,G282,1,dispersal limitation
10,G283,G01,0.003779782,0.003765989,0.000283914,0.04858268,G28GE.S,G0GE.S,G01,G283,1,dispersal limitation
11,G284,G01,0.002810644,0.00309046,0.000286732,-0.975878275,G28GE.S,G0GE.S,G01,G284,1,dispersal limitation
12,G361,G01,0.016289378,0.008786489,0.000859035,8.734094377,G36GE.S,G0GE.S,G01,G361,1,variable selection
13,G362,G01,0.010612456,0.007832632,0.00073985,3.757277504,G36GE.S,G0GE.S,G01,G362,1,variable selection
14,G363,G01,0.007186471,0.007041092,0.000550342,0.264160651,G36GE.S,G0GE.S,G01,G363,1,dispersal limitation
15,G364,G01,0.009845965,0.006907401,0.000588723,4.991422977,G36GE.S,G0GE.S,G01,G364,1,variable selection
16,G51,G01,0.00395438,0.003719209,0.000248523,0.946272838,G5GE.S,G0GE.S,G01,G51,1,dispersal limitation
17,G52,G01,0.003719282,0.003846175,0.000307166,-0.413110549,G5GE.S,G0GE.S,G01,G52,1,dispersal limitation
18,G53,G01,0.003206817,0.003359903,0.000196463,-0.779211653,G5GE.S,G0GE.S,G01,G53,1,dispersal limitation
19,G54,G01,0.00376396,0.003731708,0.0002695,0.119673605,G5GE.S,G0GE.S,G01,G54,1,dispersal limitation
20,L151,G01,0.009282308,0.007826278,0.000808693,1.800471283,L15AL.S,G0GE.S,G01,L151,1,dispersal limitation
21,L152,G01,0.014680131,0.008396176,0.001064248,5.904598991,L15AL.S,G0GE.S,G01,L152,1,variable selection
22,L153,G01,0.010537579,0.008117997,0.000745607,3.245118988,L15AL.S,G0GE.S,G01,L153,1,variable selection
23,L154,G01,0.038035127,0.011454846,0.001842125,14.4291438,L15AL.S,G0GE.S,G01,L154,0.9,variable selection
24,L21,G01,0.012986446,0.011027587,0.000876813,2.234067929,L2AL.S,G0GE.S,G01,L21,0.9,variable selection
25,L22,G01,0.01248128,0.010229649,0.000861775,2.612781825,L2AL.S,G0GE.S,G01,L22,1,variable selection
26,L23,G01,0.015370868,0.010984894,0.000943318,4.649516538,L2AL.S,G0GE.S,G01,L23,1,variable selection
27,L24,G01,0.142627128,0.042291329,0.010408546,9.639751353,L2AL.S,G0GE.S,G01,L24,1,variable selection
28,L251,G01,0.012735471,0.010574769,0.001013949,2.130977259,L25AL.S,G0GE.S,G01,L251,1,variable selection
29,L252,G01,0.010717679,0.008403617,0.000798339,2.898594587,L25AL.S,G0GE.S,G01,L252,1,variable selection
30,L253,G01,0.01501066,0.008932245,0.000973171,6.245989827,L25AL.S,G0GE.S,G01,L253,1,variable selection
31,L254,G01,0.010259087,0.008382564,0.000768309,2.442406287,L25AL.S,G0GE.S,G01,L254,1,variable selection
32,L401,G01,0.008231837,0.00799848,0.000735216,0.317399288,L40AL.S,G0GE.S,G01,L401,1,dispersal limitation
33,L402,G01,0.008961131,0.006931939,0.000484594,4.187405434,L40AL.S,G0GE.S,G01,L402,1,variable selection
34,L403,G01,0.008640624,0.007196068,0.000583959,2.473728028,L40AL.S,G0GE.S,G01,L403,1,variable selection
35,L404,G01,0.008092425,0.007640892,0.00042548,1.061231352,L40AL.S,G0GE.S,G01,L404,1,dispersal limitation
