"","SampleID","Compartment","Cultivar","Site","Age","Group","Group0"
"1","G01","Soil","Soil","GE",0,"Soil_Soil","G0"
"2","G02","Soil","Soil","GE",0,"Soil_Soil","G0"
"3","G03","Soil","Soil","GE",0,"Soil_Soil","G0"
"4","G04","Soil","Soil","GE",0,"Soil_Soil","G0"
"5","G151","Soil","Soil","GE",15,"Soil_Soil","G15"
"6","G152","Soil","Soil","GE",15,"Soil_Soil","G15"
"7","G153","Soil","Soil","GE",15,"Soil_Soil","G15"
"8","G154","Soil","Soil","GE",15,"Soil_Soil","G15"
"9","G281","Soil","Soil","GE",28,"Soil_Soil","G28"
"10","G282","Soil","Soil","GE",28,"Soil_Soil","G28"
"11","G283","Soil","Soil","GE",28,"Soil_Soil","G28"
"12","G284","Soil","Soil","GE",28,"Soil_Soil","G28"
"13","G361","Soil","Soil","GE",36,"Soil_Soil","G36"
"14","G362","Soil","Soil","GE",36,"Soil_Soil","G36"
"15","G363","Soil","Soil","GE",36,"Soil_Soil","G36"
"16","G364","Soil","Soil","GE",36,"Soil_Soil","G36"
"17","G51","Soil","Soil","GE",5,"Soil_Soil","G5"
"18","G52","Soil","Soil","GE",5,"Soil_Soil","G5"
"19","G53","Soil","Soil","GE",5,"Soil_Soil","G5"
"20","G54","Soil","Soil","GE",5,"Soil_Soil","G5"
"21","RBG0C1","Rhizoplane","Stipa bungeana","GE",0,"Rhizoplane_Stipa bungeana","RB.G0C"
"22","RBG0C2","Rhizoplane","Stipa bungeana","GE",0,"Rhizoplane_Stipa bungeana","RB.G0C"
"23","RBG0C3","Rhizoplane","Stipa bungeana","GE",0,"Rhizoplane_Stipa bungeana","RB.G0C"
"24","RBG0C4","Rhizoplane","Stipa bungeana","GE",0,"Rhizoplane_Stipa bungeana","RB.G0C"
"25","RBG15C1","Rhizoplane","Stipa bungeana","GE",15,"Rhizoplane_Stipa bungeana","RB.G15C"
"26","RBG15C2","Rhizoplane","Stipa bungeana","GE",15,"Rhizoplane_Stipa bungeana","RB.G15C"
"27","RBG15C3","Rhizoplane","Stipa bungeana","GE",15,"Rhizoplane_Stipa bungeana","RB.G15C"
"28","RBG15C4","Rhizoplane","Stipa bungeana","GE",15,"Rhizoplane_Stipa bungeana","RB.G15C"
"29","RBG15D1","Rhizoplane","Stipa grandis","GE",15,"Rhizoplane_Stipa grandis","RB.G15D"
"30","RBG15D2","Rhizoplane","Stipa grandis","GE",15,"Rhizoplane_Stipa grandis","RB.G15D"
"31","RBG15D3","Rhizoplane","Stipa grandis","GE",15,"Rhizoplane_Stipa grandis","RB.G15D"
"32","RBG15D4","Rhizoplane","Stipa grandis","GE",15,"Rhizoplane_Stipa grandis","RB.G15D"
"33","RBG28D1","Rhizoplane","Stipa grandis","GE",28,"Rhizoplane_Stipa grandis","RB.G28D"
"34","RBG28D2","Rhizoplane","Stipa grandis","GE",28,"Rhizoplane_Stipa grandis","RB.G28D"
"35","RBG28D3","Rhizoplane","Stipa grandis","GE",28,"Rhizoplane_Stipa grandis","RB.G28D"
"36","RBG28D4","Rhizoplane","Stipa grandis","GE",28,"Rhizoplane_Stipa grandis","RB.G28D"
"37","RBG28J1","Rhizoplane","Achnatherum splendens ","GE",28,"Rhizoplane_Achnatherum splendens ","RB.G28J"
"38","RBG28J2","Rhizoplane","Achnatherum splendens ","GE",28,"Rhizoplane_Achnatherum splendens ","RB.G28J"
"39","RBG28J3","Rhizoplane","Achnatherum splendens ","GE",28,"Rhizoplane_Achnatherum splendens ","RB.G28J"
"40","RBG28J4","Rhizoplane","Achnatherum splendens ","GE",28,"Rhizoplane_Achnatherum splendens ","RB.G28J"
"41","RBG36D1","Rhizoplane","Stipa grandis","GE",36,"Rhizoplane_Stipa grandis","RB.G36D"
"42","RBG36D2","Rhizoplane","Stipa grandis","GE",36,"Rhizoplane_Stipa grandis","RB.G36D"
"43","RBG36D3","Rhizoplane","Stipa grandis","GE",36,"Rhizoplane_Stipa grandis","RB.G36D"
"44","RBG36D4","Rhizoplane","Stipa grandis","GE",36,"Rhizoplane_Stipa grandis","RB.G36D"
